Participant,Food Rated,Food Rating,Trial Food C,Trial Food D,Decision,Opponent Decision,RT,
,Toast,1,NA,NA,NA,NA,2648.29414798,
,Carrots,3,NA,NA,NA,NA,553.771788988,
,Chicken Wings,7,NA,NA,NA,NA,448.917790176,
,Ham,4,NA,NA,NA,NA,768.806160177,
,Fried Chicken,8,NA,NA,NA,NA,324.1834857,
,Potato Chips,2,NA,NA,NA,NA,181.659738667,
,Avocado,9,NA,NA,NA,NA,155.498534978,
,Boiled Spinach,3,NA,NA,NA,NA,208.780843041,
,Bagel,7,NA,NA,NA,NA,144.027135278,
,Brussel Sprouts,1,NA,NA,NA,NA,169.448863539,
,Sausage And Biscuit Sandwich,8,NA,NA,NA,NA,143.864382259,
,Green Beans,2,NA,NA,NA,NA,98.8536420264,
,Tomato Soup,7,NA,NA,NA,NA,231.238804621,
,Jell-O,3,NA,NA,NA,NA,159.553186758,
,Pizza,9,NA,NA,NA,NA,107.830961685,
,Garlic Bread,1,NA,NA,NA,NA,157.411005134,
,Turkey Sub,7,NA,NA,NA,NA,191.079375087,
,Oysters,2,NA,NA,NA,NA,131.853893732,
,French Fries,8,NA,NA,NA,NA,143.620985853,
,Rigattoni With Marinara Sauce,3,NA,NA,NA,NA,124.442033289,
,French Toast,9,NA,NA,NA,NA,96.9196669672,
,Taco,1,NA,NA,NA,NA,164.69774614,
,Cheeseburger,7,NA,NA,NA,NA,161.279932748,
,Sushi,2,NA,NA,NA,NA,120.222184752,
,Broccoli,8,NA,NA,NA,NA,76.2060462991,
,Pop Tart,3,NA,NA,NA,NA,187.54719471,
,Baked Potato,9,NA,NA,NA,NA,58.9141490045,
,Asparagus,1,NA,NA,NA,NA,133.745347732,
,Croissant,7,NA,NA,NA,NA,139.860560252,
,Oatmeal,2,NA,NA,NA,NA,112.330862713,
,Ruben Sandwich,8,NA,NA,NA,NA,133.052303346,
,Chocolate Chip Cookie,3,NA,NA,NA,NA,143.073099565,
,Peas,9,NA,NA,NA,NA,57.6018611516,
,Popcorn,1,NA,NA,NA,NA,143.360972022,
,Veggie Sandwich,7,NA,NA,NA,NA,165.862920903,
,Steak,3,NA,NA,NA,NA,164.100496323,
,Fried Egg,2,NA,NA,NA,NA,0.473596621774,
,Grilled Chicken Sandwich,9,NA,NA,NA,NA,632.02226735,
,Chicken Nuggets,1,NA,NA,NA,NA,306.609580923,
,Raspberry Shake,7,NA,NA,NA,NA,158.365040847,
,Waffles,3,NA,NA,NA,NA,295.236419531,
,Apple,8,NA,NA,NA,NA,190.135603078,
,Hot Dog,1,NA,NA,NA,NA,239.286037208,
,Glazed Donut,9,NA,NA,NA,NA,91.3767781256,
,Bacon,2,NA,NA,NA,NA,172.659936609,
,Tater-Tots,7,NA,NA,NA,NA,165.353645692,
,Onion Rings,3,NA,NA,NA,NA,233.054991459,
,Mashed Potatoes,8,NA,NA,NA,NA,188.452355642,
,Saltine Crackers,1,NA,NA,NA,NA,264.691636792,
,Liver And Onions,9,NA,NA,NA,NA,112.361653825,
,Vegetable Salad,2,NA,NA,NA,NA,224.124102842,
