Participant,Food Rated,Food Rating,Trial Food C,Trial Food D,Decision,Opponent Decision,RT,
MOOOO,Toast,1,NA,NA,NA,NA,4214.58978479,
MOOOO,Tomato Soup,5,NA,NA,NA,NA,2227.39593597,
MOOOO,apple,6,NA,NA,NA,NA,2766.55484133,
MOOOO,fried chicken,1,NA,NA,NA,NA,1847.17465084,
MOOOO,cheeseburger,1,NA,NA,NA,NA,1395.79130108,
MOOOO,carrots,8,NA,NA,NA,NA,1908.72257151,
MOOOO,bacon,1,NA,NA,NA,NA,1008.20264236,
MOOOO,boiled spinach,4,NA,NA,NA,NA,3052.52467195,
MOOOO,brussel sprouts,5,NA,NA,NA,NA,2701.40241089,
MOOOO,Green Beans,5,NA,NA,NA,NA,926.004668512,
MOOOO,Jell-O,1,NA,NA,NA,NA,1758.71729304,
MOOOO,chicken nuggets,1,NA,NA,NA,NA,883.445549665,
MOOOO,Garlic Bread,9,NA,NA,NA,NA,2032.31840113,
MOOOO,Steak,1,NA,NA,NA,NA,1609.42020911,
MOOOO,baked potato,6,NA,NA,NA,NA,2259.36781542,
MOOOO,Turkey Sub,1,NA,NA,NA,NA,1558.40576565,
MOOOO,Tater-Tots,9,NA,NA,NA,NA,1761.31938254,
MOOOO,Oysters,1,NA,NA,NA,NA,1091.36980169,
MOOOO,glazed donut,9,NA,NA,NA,NA,1187.54789721,
MOOOO,avocado,9,NA,NA,NA,NA,1248.61928948,
MOOOO,Peas,9,NA,NA,NA,NA,1245.17704374,
MOOOO,Grilled Chicken Sandwich,1,NA,NA,NA,NA,1494.90969909,
MOOOO,bagel,7,NA,NA,NA,NA,1891.2835867,
MOOOO,Sausage and Biscuit Sandwich,1,NA,NA,NA,NA,2726.56213344,
MOOOO,Taco,1,NA,NA,NA,NA,788.474170694,
MOOOO,Pizza,7,NA,NA,NA,NA,1361.77939129,
MOOOO,Ham,1,NA,NA,NA,NA,746.778179202,
MOOOO,Onion Rings,8,NA,NA,NA,NA,1253.0370744,
MOOOO,Pop Tart,1,NA,NA,NA,NA,768.601714134,
MOOOO,chicken wings,1,NA,NA,NA,NA,1312.29814745,
MOOOO,Oatmeal,2,NA,NA,NA,NA,2204.85345407,
MOOOO,Ruben Sandwich,1,NA,NA,NA,NA,1412.64672188,
MOOOO,Rigattoni with Marinara Sauce,9,NA,NA,NA,NA,3219.46112701,
MOOOO,Popcorn,9,NA,NA,NA,NA,2018.69946355,
MOOOO,Veggie Sandwich,9,NA,NA,NA,NA,1417.22530459,
MOOOO,Liver and Onions,1,NA,NA,NA,NA,1183.32707737,
MOOOO,fried egg,9,NA,NA,NA,NA,1444.82827382,
MOOOO,broccoli,9,NA,NA,NA,NA,1057.03238634,
MOOOO,Waffles,5,NA,NA,NA,NA,1882.95240385,
MOOOO,asparagus,9,NA,NA,NA,NA,1064.97110527,
MOOOO,croissant,3,NA,NA,NA,NA,1248.573836,
MOOOO,Sushi,8,NA,NA,NA,NA,1187.02738157,
MOOOO,Potato Chips,9,NA,NA,NA,NA,1630.26478362,
MOOOO,french fries,9,NA,NA,NA,NA,1587.06491734,
MOOOO,french toast,9,NA,NA,NA,NA,1205.13546114,
MOOOO,chocolate chip cookie,5,NA,NA,NA,NA,3686.90959352,
MOOOO,Hot Dog,1,NA,NA,NA,NA,1340.48321447,
MOOOO,Mashed Potatoes,6,NA,NA,NA,NA,2225.1169083,
MOOOO,Saltine Crackers,1,NA,NA,NA,NA,1429.11358873,
