Participant,Food Rated,Food Rating,Trial Food C,Trial Food D,Decision,Opponent Decision,RT,
12,Toast,1,NA,NA,NA,NA,4434.87982687,
12,Carrots,3,NA,NA,NA,NA,256064.420776,
12,Chicken Wings,7,NA,NA,NA,NA,7055.05393813,
12,Ham,6,NA,NA,NA,NA,8577.9439192,
12,Fried Chicken,9,NA,NA,NA,NA,2346.00703405,
12,Potato Chips,4,NA,NA,NA,NA,4484.63672407,
12,Avocado,8,NA,NA,NA,NA,2720.85894368,
12,Boiled Spinach,4,NA,NA,NA,NA,140679.233332,
12,Bagel,2,NA,NA,NA,NA,26751.6954636,
12,Brussel Sprouts,2,NA,NA,NA,NA,19307.0064827,
12,Sausage And Biscuit Sandwich,5,NA,NA,NA,NA,3637.35503761,
12,Green Beans,3,NA,NA,NA,NA,9468.20895697,
12,Tomato Soup,5,NA,NA,NA,NA,67422.952443,
12,Jell-O,1,NA,NA,NA,NA,2343.16448099,
12,Pizza,7,NA,NA,NA,NA,1838.13429597,
12,Garlic Bread,3,NA,NA,NA,NA,4642.95510174,
12,Turkey Sub,5,NA,NA,NA,NA,3572.91862165,
12,Oysters,9,NA,NA,NA,NA,1926.77737766,
12,French Fries,4,NA,NA,NA,NA,4534.36331894,
12,Rigattoni With Marinara Sauce,5,NA,NA,NA,NA,24579.4082055,
12,French Toast,4,NA,NA,NA,NA,91295.3166299,
12,Taco,8,NA,NA,NA,NA,5352.94235521,
12,Cheeseburger,7,NA,NA,NA,NA,4064.80053254,
12,Sushi,9,NA,NA,NA,NA,1587.44760631,
12,Broccoli,5,NA,NA,NA,NA,16569.7451868,
12,Pop Tart,2,NA,NA,NA,NA,2500.8802335,
12,Baked Potato,4,NA,NA,NA,NA,2850.11104334,
12,Asparagus,3,NA,NA,NA,NA,2471.87407138,
12,Croissant,2,NA,NA,NA,NA,1820.05554122,
12,Oatmeal,1,NA,NA,NA,NA,8251.05569371,
12,Ruben Sandwich,4,NA,NA,NA,NA,7202.69221445,
12,Chocolate Chip Cookie,2,NA,NA,NA,NA,2226.26497521,
12,Peas,3,NA,NA,NA,NA,6001.17788048,
12,Popcorn,4,NA,NA,NA,NA,52223.7361978,
12,Veggie Sandwich,9,NA,NA,NA,NA,69159.1121029,
12,Steak,9,NA,NA,NA,NA,1669.06934735,
12,Fried Egg,3,NA,NA,NA,NA,21222.734755,
12,Grilled Chicken Sandwich,7,NA,NA,NA,NA,34106.4735529,
12,Chicken Nuggets,7,NA,NA,NA,NA,2850.08660598,
12,Raspberry Shake,1,NA,NA,NA,NA,32904.2089922,
12,Waffles,9,NA,NA,NA,NA,1909.8486448,
12,Apple,3,NA,NA,NA,NA,4403.42406434,
12,Hot Dog,4,NA,NA,NA,NA,5492.30516586,
12,Glazed Donut,1,NA,NA,NA,NA,8311.95064827,
12,Bacon,7,NA,NA,NA,NA,2820.43334272,
12,Tater-Tots,7,NA,NA,NA,NA,1851.7610535,
12,Onion Rings,7,NA,NA,NA,NA,1328.06708347,
12,Mashed Potatoes,3,NA,NA,NA,NA,4108.49892085,
12,Saltine Crackers,1,NA,NA,NA,NA,1802.14589296,
12,Liver And Onions,7,NA,NA,NA,NA,10077.9536941,
12,Vegetable Salad,5,NA,NA,NA,NA,15592.0296103,
12,NA,NA,Saltine Crackers,Green Beans,D,d,626.460865044,
12,NA,NA,Carrots,Onion Rings,D,d,1766.67018565,
